Family,Scientific name,Common name,Population size (mature individuals),Population size derivation,Current population trend,Current population trend derivation
Ovenbirds,Synallaxis courseni,Apurimac Spinetail,1200-1600,estimated,Stable,suspected
Hummingbirds,Coeligena albicaudata,Apurimac Starfrontlet,Unknown,not applicable,Decreasing,suspected
Reed-warblers,Acrocephalus paludicola,Aquatic Warbler,18000-29000,estimated,Decreasing,inferred
Laughingthrushes and allies,Argya squamiceps,Arabian Babbler,Unknown,not applicable,Increasing,suspected
Bustards,Ardeotis arabs,Arabian Bustard,Unknown,not applicable,Decreasing,suspected
Typical Owls,Bubo milesi,Arabian Eagle-owl,4000-9999,suspected,Stable,suspected
Old World Sparrows,Passer euchlorus,Arabian Golden Sparrow,Unknown,not applicable,Stable,suspected
Bee-eaters,Merops cyanophrys,Arabian Green Bee-eater,Unknown,not applicable,Increasing,suspected
Finches,Rhynchostruthus percivali,Arabian Grosbeak,6000,estimated,Decreasing,suspected
Larks,Eremalauda eremodites,Arabian Lark,Unknown,not applicable,Stable,suspected
"Pheasants, Partridges, Turkeys, Grouse",Alectoris melanocephala,Arabian Partridge,Unknown,not applicable,Stable,suspected
Typical Owls,Otus pamelae,Arabian Scops-owl,60000,estimated,Stable,suspected
Finches,Crithagra rothschildi,Arabian Serin,Unknown,not applicable,Stable,suspected
Sunbirds,Cinnyris hellmayri,Arabian Sunbird,Unknown,not applicable,Stable,suspected
Old World Warblers,Curruca leucomelaena,Arabian Warbler,Unknown,not applicable,Decreasing,suspected
Waxbills,Estrilda rufibarba,Arabian Waxbill,Unknown,not applicable,Decreasing,suspected
Old World Flycatchers and Chats,Oenanthe lugentoides,Arabian Wheatear,1000000-1299999,suspected,Stable,suspected
Woodpeckers,Dendropicos dorae,Arabian Woodpecker,10000-19999,estimated,Decreasing,suspected
Fantails,Rhipidura dryas,Arafura Fantail,Unknown,,Decreasing,suspected
Ovenbirds,Synallaxis simoni,Araguaia Spinetail,Unknown,not applicable,Decreasing,suspected
Manakins,Antilophia bokermanni,Araripe Manakin,150-700,estimated,Decreasing,inferred
Ovenbirds,Leptasthenura setaria,Araucaria Tit-spinetail,Unknown,not applicable,Decreasing,suspected
Bowerbirds,Archboldia papuensis,Archbold's Bowerbird,Unknown,not applicable,Stable,suspected
Vangas and allies,Newtonia archboldi,Archbold's Newtonia,Unknown,not applicable,Unknown,not applicable
Nightjars,Eurostopodus archboldi,Archbold's Nightjar,Unknown,not applicable,Decreasing,suspected
Owlet-nightjars,Aegotheles archboldi,Archbold's Owlet-nightjar,Unknown,not applicable,Decreasing,suspected
Old World Flycatchers and Chats,Dessonornis archeri,Archer's Robin-chat,Unknown,not applicable,Decreasing,suspected
"Gulls, Terns, Skimmers",Larus smithsonianus,Arctic Herring Gull,Unknown,estimated,Decreasing,suspected
Skuas,Stercorarius parasiticus,Arctic Jaeger,400000-599999,estimated,Stable,suspected
Loons/Divers,Gavia arctica,Arctic Loon,Unknown,estimated,Decreasing,suspected
"Gulls, Terns, Skimmers",Sterna paradisaea,Arctic Tern,Unknown,estimated,Decreasing,suspected
Leaf-warblers,Phylloscopus borealis,Arctic Warbler,10000000-500000000,estimated,Increasing,suspected
Ovenbirds,Asthenes arequipae,Arequipa Canastero,Unknown,not applicable,Decreasing,suspected
Birds-of-paradise,Astrapia nigra,Arfak Astrapia,Unknown,not applicable,Stable,suspected
Honeyeaters,Melipotes gymnops,Arfak Honeyeater,Unknown,not applicable,Stable,suspected
Australasian robins,Heteromyias albispecularis,Arfak Robin,Unknown,,Decreasing,suspected
Toucans,Ramphastos ariel,Ariel Toucan,Unknown,not applicable,Decreasing,suspected
Typical Antbirds,Herpsilochmus stotzi,Aripuana Antwren,Unknown,not applicable,Decreasing,suspected
Woodpeckers,Leuconotopicus arizonae,Arizona Woodpecker,200000,estimated,Decreasing,suspected
"Gulls, Terns, Skimmers",Larus armenicus,Armenian Gull,45000-73000,estimated,Increasing,estimated
Old World Flycatchers and Chats,Myrmecocichla arnotti,Arnot's Chat,Unknown,not applicable,Decreasing,suspected
Woodpeckers,Picumnus minutissimus,Arrowhead Piculet,Unknown,not applicable,Stable,suspected
New World warblers,Setophaga pharetra,Arrowhead Warbler,Unknown,not applicable,Decreasing,suspected
Laughingthrushes and allies,Turdoides jardineii,Arrow-marked Babbler,Unknown,not applicable,Stable,suspected
Flowerpeckers,Dicaeum ignicolle,Aru Flowerpecker,Unknown,not applicable,Stable,suspected
"Rails, Gallinules, Coots",Mundia elpenor,Ascension Crake,0,estimated,,not applicable
Frigatebirds,Fregata aquila,Ascension Frigatebird,17000-21000,estimated,Stable,suspected
Laughingthrushes and allies,Montecincla meridionalis,Ashambu Chilappan,10000-13000,estimated,Decreasing,suspected
Hummingbirds,Phaethornis major,Ash-bellied Hermit,Unknown,not applicable,Stable,suspected
Typical Antbirds,Myrmoborus lugubris,Ash-breasted Antbird,Unknown,not applicable,Decreasing,suspected
Tanagers,Geospizopsis plebejus,Ash-breasted Sierra-finch,Unknown,not applicable,Stable,suspected
Tyrant-flycatchers,Anairetes alpinus,Ash-breasted Tit-tyrant,150-700,estimated,Decreasing,suspected
Ovenbirds,Cranioleuca curtata,Ash-browed Spinetail,Unknown,not applicable,Decreasing,suspected
Cuckoos,Coccycua cinerea,Ash-colored Cuckoo,Unknown,not applicable,Decreasing,inferred
Tapaculos,Myornis senilis,Ash-colored Tapaculo,Unknown,not applicable,Decreasing,suspected
Typical Antbirds,Herpsilochmus parkeri,Ash-throated Antwren,1720-4800,inferred,Decreasing,suspected
Tyrant-flycatchers,Casiornis fuscus,Ash-throated Casiornis,Unknown,not applicable,Decreasing,suspected
"Rails, Gallinules, Coots",Porzana albicollis,Ash-throated Crake,66700-667000,not applicable,Stable,not applicable
Tyrant-flycatchers,Myiarchus cinerascens,Ash-throated Flycatcher,10000000,estimated,Increasing,estimated
Gnateaters,Conopophaga peruviana,Ash-throated Gnateater,Unknown,not applicable,Decreasing,suspected
Typical Antbirds,Euchrepomis spodioptila,Ash-winged Antwren,Unknown,not applicable,Decreasing,suspected
Typical Antbirds,Myrmotherula grisea,Ashy Antwren,46000-54000,estimated,Decreasing,suspected
Bulbuls,Hemixos flavala,Ashy Bulbul,Unknown,not applicable,Decreasing,suspected
Cisticolas and allies,Cisticola cinereolus,Ashy Cisticola,Unknown,not applicable,Stable,suspected
Drongos,Dicrurus leucophaeus,Ashy Drongo,Unknown,not applicable,Unknown,not applicable
Flowerpeckers,Dicaeum vulneratum,Ashy Flowerpecker,Unknown,not applicable,Decreasing,suspected
Old World Flycatchers and Chats,Fraseria caerulescens,Ashy Flycatcher,Unknown,not applicable,Stable,suspected
Cuckooshrikes,Pericrocotus divaricatus,Ashy Minivet,Unknown,not applicable,Decreasing,inferred
Honeyeaters,Myzomela cineracea,Ashy Myzomela,Unknown,not applicable,Decreasing,not applicable
Cisticolas and allies,Prinia socialis,Ashy Prinia,Unknown,not applicable,Stable,suspected
Starlings,Lamprotornis unicolor,Ashy Starling,Unknown,not applicable,Unknown,not applicable
Northern Storm-petrels,Hydrobates homochroa,Ashy Storm-petrel,3500-6700,estimated,Decreasing,estimated
Cisticolas and allies,Orthotomus ruficeps,Ashy Tailorbird,Unknown,not applicable,Stable,suspected
Thrushes,Geokichla cinerea,Ashy Thrush,6000-15000,suspected,Decreasing,inferred
Tits and chickadees,Melaniparus cinerascens,Ashy Tit,Unknown,not applicable,Stable,suspected
Woodpeckers,Mulleripicus fulvus,Ashy Woodpecker,Unknown,not applicable,Decreasing,inferred
"Pigeons, Doves",Columba pulchricollis,Ashy Woodpigeon,Unknown,not applicable,Decreasing,suspected
Woodswallows and Butcherbirds,Artamus fuscus,Ashy Woodswallow,Unknown,not applicable,Stable,suspected
White-eyes and Yuhinas,Zosterops citrinella,Ashy-bellied White-eye,Unknown,not applicable,Decreasing,suspected
Old World Flycatchers and Chats,Muscicapa randi,Ashy-breasted Flycatcher,6000-15000,estimated,Decreasing,suspected
Larks,Eremopterix griseus,Ashy-crowned Sparrow-lark,Unknown,not applicable,Stable,suspected
Barn-owls,Tyto glaucops,Ashy-faced Owl,Unknown,not applicable,Decreasing,suspected
Laughingthrushes and allies,Argya cinereifrons,Ashy-fronted Babbler,2500-9999,estimated,Decreasing,suspected
Bulbuls,Pycnonotus cinereifrons,Ashy-fronted Bulbul,Unknown,not applicable,Stable,suspected
Ground babblers,Pellorneum cinereiceps,Ashy-headed Babbler,Unknown,not applicable,Decreasing,suspected
"Ducks, Geese, Swans",Chloephaga poliocephala,Ashy-headed Goose,16700-66700,estimated,Decreasing,suspected
Vireos,Hylophilus pectoralis,Ashy-headed Greenlet,Unknown,not applicable,Stable,suspected
"Pigeons, Doves",Treron phayrei,Ashy-headed Green-pigeon,Unknown,not applicable,Decreasing,inferred
Tyrant-flycatchers,Phyllomyias cinereiceps,Ashy-headed Tyrannulet,Unknown,not applicable,Decreasing,suspected
Swifts,Chaetura andrei,Ashy-tailed Swift,2500-9999,inferred,Decreasing,inferred
New World sparrows,Chlorospingus canigularis,Ashy-throated Chlorospingus,500000-4999999,estimated,Decreasing,suspected
Parrotbills and allies,Suthora alphonsiana,Ashy-throated Parrotbill,Unknown,not applicable,Stable,suspected
Leaf-warblers,Phylloscopus maculipennis,Ashy-throated Warbler,Unknown,not applicable,Decreasing,suspected
Crows and jays,Cyanopica cyanus,Asian Azure-winged Magpie,Unknown,estimated,Increasing,estimated
Typical Owls,Glaucidium cuculoides,Asian Barred Owlet,Unknown,not applicable,Increasing,suspected
"Pheasants, Partridges, Turkeys, Grouse",Synoicus chinensis,Asian Blue Quail,Unknown,,Stable,suspected
Old World Flycatchers and Chats,Muscicapa dauurica,Asian Brown Flycatcher,Unknown,not applicable,Decreasing,suspected
"Ibises, Spoonbills",Nipponia nippon,Asian Crested Ibis,330,estimated,Increasing,estimated
Old World Warblers,Curruca nana,Asian Desert Warbler,Unknown,not applicable,Stable,suspected
"Sandpipers, Snipes, Phalaropes",Limnodromus semipalmatus,Asian Dowitcher,Unknown,estimated,Decreasing,suspected
Cuckoos,Chrysococcyx maculatus,Asian Emerald Cuckoo,Unknown,not applicable,Decreasing,inferred
Fairy-bluebirds,Irena puella,Asian Fairy-bluebird,Unknown,not applicable,Decreasing,suspected
Starlings,Aplonis panayensis,Asian Glossy Starling,Unknown,not applicable,Stable,not applicable
Weavers,Ploceus hypoxanthus,Asian Golden Weaver,Unknown,,Decreasing,suspected
Bee-eaters,Merops orientalis,Asian Green Bee-eater,Unknown,not applicable,Increasing,suspected
Bustards,Chlamydotis macqueenii,Asian Houbara,33000-67000,estimated,Decreasing,inferred
Swallows and martins,Delichon dasypus,Asian House Martin,Unknown,not applicable,Increasing,estimated
Storks,Anastomus oscitans,Asian Openbill,Unknown,estimated,Unknown,not applicable
Swifts,Cypsiurus balasiensis,Asian Palm Swift,Unknown,not applicable,Stable,suspected
Swallows and martins,Riparia chinensis,Asian Plain Martin,Unknown,not applicable,Decreasing,suspected
Finches,Leucosticte arctoa,Asian Rosy-finch,Unknown,not applicable,Decreasing,estimated
Larks,Alaudala cheleensis,Asian Short-toed Lark,1000000-9999999,suspected,Decreasing,suspected
Bush-warblers,Urosphena squameiceps,Asian Stubtail,Unknown,not applicable,Decreasing,suspected
Storks,Ciconia episcopus,Asian Woollyneck,50000-249999,suspected,Decreasing,suspected
Crows and jays,Pica asirensis,Asir Magpie,200,estimated,Decreasing,suspected
Laughingthrushes and allies,Trochalopteron chrysopterum,Assam Laughingthrush,Unknown,not applicable,Decreasing,not applicable
Thornbills,Sericornis keri,Atherton Scrubwren,"120000-550000, 260000",estimated,Decreasing,estimated
Grebes,Podilymbus gigas,Atitlan Grebe,Unknown,,,not applicable
Swifts,Aerodramus sawtelli,Atiu Swiftlet,340-400,estimated,Stable,suspected
Woodpeckers,Celeus tinnunculus,Atlantic Black-breasted Woodpecker,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Myiopagis caniceps,Atlantic Grey Elaenia,Unknown,not applicable,Decreasing,suspected
"Petrels, Shearwaters",Pterodroma incerta,Atlantic Petrel,1800000,estimated,Decreasing,inferred
Auks,Fratercula arctica,Atlantic Puffin,12000000-14000000,estimated,Decreasing,suspected
Tityras and allies,Onychorhynchus swainsoni,Atlantic Royal Flycatcher,600-1700,estimated,Decreasing,suspected
"Gulls, Terns, Skimmers",Gygis alba,Atlantic White Tern,20000-49999,estimated,Stable,suspected
Ovenbirds,Xiphorhynchus atlanticus,Atlantic Woodcreeper,5000-11000,estimated,Decreasing,inferred
Albatrosses,Thalassarche chlororhynchos,Atlantic Yellow-nosed Albatross,35000-73500,estimated,Decreasing,estimated
Old World Flycatchers and Chats,Oenanthe seebohmi,Atlas Wheatear,Unknown,estimated,Decreasing,suspected
"Pigeons, Doves",Ptilinopus coralensis,Atoll Fruit-dove,2800-5600,estimated,Decreasing,suspected
Starlings,Aplonis feadensis,Atoll Starling,Unknown,estimated,Stable,suspected
Antpittas,Grallaria atuensis,Atuen Antpitta,Unknown,not applicable,Stable,suspected
"Rails, Gallinules, Coots",Lewinia muelleri,Auckland Island Rail,2000,estimated,Stable,suspected
Cormorants,Leucocarbo colensoi,Auckland Islands Shag,3000,estimated,Stable,suspected
"Sandpipers, Snipes, Phalaropes",Coenocorypha aucklandica,Auckland Snipe,20000-49999,estimated,Stable,estimated
"Ducks, Geese, Swans",Anas aucklandica,Auckland Teal,"330-1700, 1000-1700",estimated,Stable,estimated
"Gulls, Terns, Skimmers",Larus audouinii,Audouin's Gull,Unknown,estimated,Decreasing,estimated
New World blackbirds,Icterus graduacauda,Audubon's Oriole,3500000,estimated,Decreasing,suspected
"Petrels, Shearwaters",Puffinus lherminieri,Audubon's Shearwater,30000-59000,estimated,Decreasing,suspected
New World warblers,Setophaga auduboni,Audubon's Warbler,Unknown,not applicable,Stable,inferred
"Hawks, Eagles",Buteo augur,Augur Buzzard,1000000,estimated,Stable,suspected
Hornbills,Anorrhinus austeni,Austen's Brown Hornbill,Unknown,not applicable,Decreasing,suspected
New World blackbirds,Curaeus curaeus,Austral Blackbird,Unknown,not applicable,Stable,suspected
Ovenbirds,Asthenes anthoides,Austral Canastero,Unknown,not applicable,Stable,suspected
Tyrant-flycatchers,Lessonia rufa,Austral Negrito,Unknown,not applicable,Stable,suspected
Parrots,Enicognathus ferrugineus,Austral Parakeet,Unknown,not applicable,Stable,suspected
Typical Owls,Glaucidium nana,Austral Pygmy-owl,Unknown,not applicable,Stable,suspected
"Rails, Gallinules, Coots",Rallus antarcticus,Austral Rail,"1000-9999, 2500-9999",estimated,Decreasing,inferred
Thrushes,Turdus falcklandii,Austral Thrush,Unknown,not applicable,Stable,suspected
Herons,Botaurus poiciloptilus,Australasian Bittern,1000-2499,estimated,Decreasing,inferred
Darters,Anhinga novaehollandiae,Australasian Darter,Unknown,estimated,Stable,suspected
Old World Orioles,Sphecotheres vieilloti,Australasian Figbird,Unknown,not applicable,Stable,suspected
"Gannets, Boobies",Morus serrator,Australasian Gannet,Unknown,estimated,Increasing,suspected
Grebes,Tachybaptus novaehollandiae,Australasian Grebe,16800-687000,estimated,Unknown,suspected
Barn-owls,Tyto novaehollandiae,Australasian Masked-owl,Unknown,not applicable,Decreasing,suspected
Pipits and Wagtails,Anthus novaeseelandiae,Australasian Pipit,Unknown,not applicable,Stable,suspected
Reed-warblers,Acrocephalus australis,Australasian Reed-warbler,Unknown,not applicable,Stable,suspected
"Ducks, Geese, Swans",Spatula rhynchotis,Australasian Shoveler,86700-163000,estimated,Unknown,suspected
Megapodes,Alectura lathami,Australian Brushturkey,Unknown,estimated,Decreasing,suspected
Bustards,Ardeotis australis,Australian Bustard,6700-67000,estimated,Decreasing,suspected
"Rails, Gallinules, Coots",Porzana fluminea,Australian Crake,Unknown,not applicable,Unknown,not applicable
"Gulls, Terns, Skimmers",Gelochelidon macrotarsa,Australian Gull-billed Tern,Unknown,estimated,Unknown,suspected
"Falcons, Caracaras",Falco longipennis,Australian Hobby,Unknown,estimated,Increasing,suspected
"Ibises, Spoonbills",Threskiornis moluccus,Australian Ibis,Unknown,estimated,Stable,suspected
Parrots,Alisterus scapularis,Australian King-parrot,Unknown,not applicable,Decreasing,suspected
Herons,Ixobrychus dubius,Australian Little Bittern,Unknown,,Decreasing,suspected
Logrunners,Orthonyx temminckii,Australian Logrunner,Unknown,,Decreasing,suspected
Woodswallows and Butcherbirds,Gymnorhina tibicen,Australian Magpie,Unknown,not applicable,Increasing,suspected
Owlet-nightjars,Aegotheles cristatus,Australian Owlet-nightjar,Unknown,not applicable,Stable,suspected
Painted-snipes,Rostratula australis,Australian Painted-snipe,"270-410, 340",estimated,Decreasing,inferred
Pelicans,Pelecanus conspicillatus,Australian Pelican,46700-200000,estimated,Stable,suspected
"Coursers, Pratincoles",Stiltia isabella,Australian Pratincole,16700-66700,estimated,Unknown,suspected
Crows and jays,Corvus coronoides,Australian Raven,Unknown,not applicable,Increasing,estimated
Parrots,Barnardius zonarius,Australian Ringneck,Unknown,not applicable,Increasing,suspected
"Ducks, Geese, Swans",Tadorna tadornoides,Australian Shelduck,101000-827000,estimated,Increasing,suspected
Swifts,Aerodramus terraereginae,Australian Swiftlet,Unknown,estimated,Stable,suspected
White-eyes and Yuhinas,Zosterops luteus,Australian Yellow White-eye,Unknown,not applicable,Stable,suspected
Waxbills,Taeniopygia castanotis,Australian Zebra Finch,Unknown,not applicable,Stable,suspected
Ovenbirds,Asthenes ayacuchensis,Ayacucho Thistletail,Unknown,not applicable,Stable,suspected
"Hawks, Eagles",Hieraaetus ayresii,Ayres's Hawk-eagle,20000-49999,estimated,Decreasing,suspected
Ovenbirds,Synallaxis azarae,Azara's Spinetail,Unknown,not applicable,Stable,suspected
